id;name;minplayers;maxplayers;yearpublished;playingtime;image;game_category;game_mechanic
224517;Brass: Birmingham;2;4;2018;120;224517.jpg;Age of Reason, Economic, Industry / Manufacturing, Post-Napoleonic, Trains, Transportation;Hand Management, Income, Loans, Market, Network and Route Building, Tags, Tech Trees / Tech Tracks, Turn Order: Stat-Based, Variable Set-up
161936;Pandemic Legacy: Season 1;2;4;2015;60;161936.png;Environmental, Medical;Action Points, Cooperative Game, Hand Management, Legacy Game, Point to Point Movement, Scenario / Mission / Campaign Game, Set Collection, Tags, Trading, Variable Player Powers
174430;Gloomhaven;1;4;2017;120;174430.jpg;Adventure, Exploration, Fantasy, Fighting, Miniatures;Action Queue, Action Retrieval, Campaign / Battle Card Driven, Card Play Conflict Resolution, Communication Limits, Cooperative Game, Critical Hits and Failures, Deck Construction, Grid Movement, Hand Management, Hexagon Grid, Legacy Game, Line of Sight, Modular Board, Multi-Use Cards, Once-Per-Game Abilities, Role Playing, Scenario / Mission / Campaign Game, Simultaneous Action Selection, Solo / Solitaire Game, Tags, Variable Player Powers
342942;Ark Nova;1;4;2021;150;342942.jpg;Animals, Economic, Environmental;End Game Bonuses, Hand Management, Hexagon Grid, Income, Increase Value of Unchosen Resources, Open Drafting, Set Collection, Solo / Solitaire Game, Tags, Tile Placement, Variable Player Powers, Variable Set-up
233078;Twilight Imperium: Fourth Edition;3;6;2017;480;233078.jpg;Civilization, Economic, Exploration, Negotiation, Political, Science Fiction, Space Exploration, Wargame;Action Drafting, Area-Impulse, Dice Rolling, Follow, Grid Movement, Hexagon Grid, Increase Value of Unchosen Resources, King of the Hill, Modular Board, Race, Tech Trees / Tech Tracks, Trading, Variable Phase Order, Variable Player Powers, Variable Set-up, Voting
167791;Terraforming Mars;1;5;2016;120;167791.jpg;Economic, Environmental, Industry / Manufacturing, Science Fiction, Space Exploration, Territory Building;Closed Drafting, Contracts, Enclosure, End Game Bonuses, Hand Management, Hexagon Grid, Income, Set Collection, Solo / Solitaire Game, Tags, Take That, Tech Trees / Tech Tracks, Tile Placement, Turn Order: Progressive, Variable Player Powers, Variable Set-up, Victory Points as a Resource
316554;Dune: Imperium;1;4;2020;120;316554.jpg;Movies / TV / Radio theme, Novel-based, Political, Science Fiction;Card Play Conflict Resolution, Deck, Bag, and Pool Building, Delayed Purchase, Force Commitment, Increase Value of Unchosen Resources, Multi-Use Cards, Open Drafting, Race, Solo / Solitaire Game, Tags, Take That, Turn Order: Progressive, Variable Player Powers, Worker Placement
291457;Gloomhaven: Jaws of the Lion;1;4;2020;120;291457.jpg;Adventure, Exploration, Fantasy, Fighting, Miniatures;Action Queue, Action Retrieval, Campaign / Battle Card Driven, Communication Limits, Cooperative Game, Critical Hits and Failures, Deck Construction, Grid Movement, Hand Management, Hexagon Grid, Legacy Game, Line of Sight, Multi-Use Cards, Once-Per-Game Abilities, Scenario / Mission / Campaign Game, Simultaneous Action Selection, Solo / Solitaire Game, Variable Player Powers
115746;War of the Ring: Second Edition;2;4;2011;180;115746.jpg;Adventure, Fantasy, Fighting, Novel-based, Territory Building, Wargame;Action Drafting, Area Majority / Influence, Area Movement, Campaign / Battle Card Driven, Card Play Conflict Resolution, Dice Rolling, Events, Hand Management, Movement Points, Simulation, Team-Based Game, Variable Set-up
187645;Star Wars: Rebellion;2;4;2016;240;187645.jpg;Civil War, Miniatures, Movies / TV / Radio theme, Science Fiction, Space Exploration, Wargame;Area Majority / Influence, Area Movement, Area-Impulse, Card Play Conflict Resolution, Contracts, Delayed Purchase, Dice Rolling, Die Icon Resolution, Events, Hand Management, Hidden Movement, Income, Once-Per-Game Abilities, Tags, Take That, Team-Based Game, Variable Player Powers, Variable Set-up, Worker Placement, Different Worker Types
